Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
-3500,,,,,,,,,Wheel invented,The oldest wheels we know of are found in this period in Mesopotamia.,,,,,,,,
-3200,,,,,,,,,Writing invented Mesopotamia.,,,,,,,,,
-2686,,,,-2181,,,,,Old Kingdom of Egypt,,,,,,era,,,
-2560,,,,,,,,,Great Pyramid of Ghiza constructed,,,,,,,,,
-2334,,,,-2154,,,,,Akkadian Empire,"The Akkadian Empire controls mesopotamia. Meaning Iraq, Kuwait, northeast Syria and southeast Turkey and the Levant. ",,,,,,,,
-2112,,,,-2004,,,,,Ur III,The empire of the Third Dynasty of Ur is the preeminent power in mesopotemia. Ruling over the lands in Kuwait and south iraq.,,,,,,,,
-2100,,,,,,,,,Gilgamesh poems written,The first seperate Poems of the Epic of Gilgamesh are attributed to this timeframe.,,,,,,,,
-2070,,,,-1600,,,,,Legendary Xia Dynasty,"Least known of all dynasties, very little known.",,,,,,china,,
-2055,,,,-1655,,,,,Middle Kingdom of Egypt,,,,,,era,,,
-1894,,,,,,,,,Babylonia founded,"Babylonia is founded by Sumuabum. It speaks akkadian. It's base of power is in the center of iraq, Babylon.",,,,,,,,
-1800,,,,,,,,,oldest single Gilgamesh,The earliest surviving references to a single combined Epic saga of Gilgamesh are compiled in this time.,,,,,,,,
-1792,,,,-1750,,,,,Hammurabi expands babylon,Hammurabi rules the babylonian state and greatly extends its borders to mesopamia. He creates his code of law.,,,,,,,,
-1675,,,,,,,,,Jie of Xia overthrown,"Traditionally viewed as an extremely cruel king, having created a lake of alcohol, only to make 3000 men drink it and drown.",,,,,,China,,
-1600,,,,-1046,,,,,Shang Dynasty,Most of historical period known from oracle bones.,,,,,,china,,
-1595,,,,,,,,,Sack of Babylon,Dated by middle chronology this is the date of the sack of Babylon by the Hittites under king Mursili I.,,,,,,,,
-1550,,,,-1077,,,,,"Egyptian new Kingdom
",,,,,,era,,,
-1365,,,,-934,,,,,Middle Assyrian Empire,"Ruling from a base of power in Assur in north Iraq, near east Turkey. Ashur-uballit I oversees the rise of Assyria from 1365 to 1330 bc, overthrowing the Mittani.",,,,,,,,
-1200,,,,,,,,,Standard Epic of Gilgamesh,The standard version of the Epic of Gilgamesh as known in modern times is written in this timeframe. It is edited by Sîn-lēqi-unninni.,,,,,,,,
-1200,,,,-1150,,,,,Late Bronze Age collapse,"Many of the cities and civilizations from greece, turkey to egypt are destroyed and abandoned.",,,,,,,,
-1046,,,,-771,,,,,Western Zhou,,,,,,,china,,
-771,,,,-476,,,,,Spring and Autumn period,Period of the Eastern Zhou where dukes and marquesses have more and more obtained de facto regional power.,,,,,,china,,
-770,,,,-255,,,,,Eastern Zhou period,DUring this period in ancient China the emporer is only a figurehead and power rests in several mostly independant states.,,,,,,china,,
-730,,,,,,,,,Iliad composed,"Dated around -760 to -710, the Iliad is composed in this time period.",,,,,,,,
-671,,,,,,,,,Egypt rebels against Assyria,,,,,,,,,
-668,,,,-627,,,,,Ashurbanipal,"Lifetime of Ashurbanipal, last strong king of the Neo-Assyrian empire. He accrued many books and scrolls in his library at Nineveh.",,,,,,,,
-612,,,,,,,,,Nineveh sacked Babylonians and medes,,,,,,,,,
-559,,,,-530,,,,,Cyrus the Great,,,,,,,,,
-552,,,,,,,,,Battle of Hyrba,"Cyrus the great defeats the meads, starting the unification persians.",,,,,,,,
-544,,,,,,,,,"THe spanish captain Monteverde seizes upon the earthquake to take Venezuela and Caracas. They quickly beat forces under Miranda, a little role played by Bolivar. Bolivar arrests Miranda and hands him over to the spanish for his alledged betrayel of the republic. Bolivard manages to flee to Curacao.",,,,,,,,,
-530,,,,-522,,,,,Cambyses II,"Bardia usurps and dies quickly at the end
",,,,,,,,
-522,,,,-486,,,,,Darius the Great,Rules over at least 44% of the world's population,,,,,,,,
-509,1,1,,-27,1,1,,,Roman Republic,,,,,,era,,,
-509,,,,,,,,,Republic of Rome founded,,,,,,,,,
-490,10,,,,,,,,Battle of Marathon,,,,,,,,,
-483,,,,,,,,,Buddha born,,,,,,,,,
-480,10,,,,,,,,Battle of Thermopylae,,,,,,,,,
-480,,,,,,,,,Battle of Salamis,Athenians decisively defeat the navy of the Persian Empire through a pincer movement.,,,,,,,,
-475,,,,-221,,,,,Warring States period,Emporer truely merely a figurehead amongst power struggles of competing states.,,,,,,china,,
-470,,,,-399,,,,,Socrates,,,,,,,,,
-431,,,,-404,,,,,Peloponnesian War,,,,,,,,,
-427,,,,-347,,,,,Plato,,,,,,,,,
-384,,,,-322,,,,,Aristotle,,,,,,,,,
-359,,,,-336,,,,,Philip II of Macedon,"The father of Alexander the Great. Establishes a well trained military and develops tactics for Macedonia, conquers greece.",,,,,,,,
-352,,,,,,,,,Conquest of Thessaly,"Philip invades Thessaly, got beaten and then came back the next year with many more troops. 20,000 infantry and 3,000 cavalry. He wins the battle of Crocus Field. Does not advance further into central greece because the Athenians hold Thermopolea",,,,,,,,
-347,,,,,,,,,Conquest of Thrace,,,,,,,,,
-343,,,,-341,,,,,First Samnite War,,,,,,,,,
-341,,,,,,,,,Crossbows in China,Crossbows have been invented for a while and are now seeing confirmed military use in China.,,,,,,,,
-338,,,,,,,,,Battle of Chaeronea,"Denial of Theban fighting leads to victory of Philip II, uniting almost all of Greece.",,,,,,,,
-336,,,,-323,,,,,Alexander the Great,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Alexander_the_Great_mosaic.jpg/1200px-Alexander_the_Great_mosaic.jpg
-334,,,,,,,,,Battle of Granicus River,"Alexander, near Troy, defeats the forces of the local satrap in Asia Minor.",,,,,,,,
-333,,,,,,,,,Battle of Issus,"Greek cavalry beats and routes Darius, captures his family.",,,,,,,,
-332,,,,,,,,,Siege of Tyre,"Alexander builds a land bridge to the island, or now peninsula of Tyre. ""Killed 10,000 men and enslaved 30,000""",,,,,,,,
-331,,,,,,,,,Battle of Gaugamela,Alexander the Great invades the Achaemenid Empire. He beats Darius 3 in his own territory while outnumered by superior tactics and Darius's cowardice. Around 47k greeks vs 90k persians.,,,,,,,,
-330,,,,,,,,,Bessus kills Darius,A satrap betrays the king of kings and tries to hand his head to Alexander the Great.,,,,,,,,
-326,,,,-304,,,,,Second Samnite War,,,,,,,,,
-312,,,,,,,,,Appian Way constructed,Construction started on the Appian way,,,,,,,,
-298,,,,-290,,,,,Third Samnite War,,,,,,,,,
-280,,,,-275,,,,,Pyrrhic War,Roman legionaries beat greek hoplites,,,,,,,,
-264,,,,-241,,,,,First Punic War,,,,,,,,,
-221,,,,-206,,,,,Qin Dynasty,First dynasty to gain control over the whole of China. Lasted a very short time but set up for the Han.,,,,,,china,,
-218,,,,-201,,,,,Second Punic War,,,,,,,,,
-218,,,,,,,,,Lex Claudia,"Introduced through a tribute of the plebs, this law prevents Senators and their sons from owning ships larger than 300 amphorae. This prevents senators from making a large amount of money through trade.",,,,,,,,
-216,8,2,,,,,,,Battle of Cannae,,,,,,,,,
-206,,,,,,,,,First Great Wall,,,,,,,China,,
-206,,,,220,,,,,Han dynasty,A golden age of economic prosperity for China,,,,,,China,,
-196,,,,,,,,,Rosetta Stone created,,,,,,,,,
-194,,,,,,,,,Empress Lü Zhi executes Concubine Qi,"The new power after her husband Emporer Gaozu of Han, founder of the Han, died. She quickly goes to work and executes the family of and the Concubine Qi. This causes her son to become sick, or so is rumored, and she holds de facto power over the Han dynasty china for 15 years.",,,,,,china,,
-149,,,,-146,,,,,Third Punic War,,,,,,,,,
-146,,,,,,,,,Destruction of Carthage,,,,,,,,,
-133,,,,,,,,,Tiberius Cracchus tribune,,,,,,,,,
-123,,,,,,,,,Gaius Cracchus tribune,,,,,,,,,
-107,,,,,,,,,Marian reforms,,,,,,,,,
-106,,,,,,,,,Sulla captures Jugurtha credit to Marius,Marius takes credit,,,,,,,,
-105,,,,-100,,,,,Marius consulships 2nd-6th,,,,,,,,,
-100,,,,,,,,,Marius gives up power and retires east,,,,,,,,,
-94,,,,,,,,,Records of the Grand Historian,"Records of the Grand Historian are finished by Sima Qian, comparable to a chinese herodotus. These texts describe a 2500 year period from the start of the Yellow Emporer to the Emporer Wu of Han in the contemporary time.",,,,,,china,,
-91,,,,,,,,,Marcus Livius Drusus assassinated,Tribune of the plebs killed for laws enacted.,,,,,,,,
-91,,,,-88,,,,,Social War,"Rome vs italian cities, Sulla commands mostly",,,,,,,,
-89,,,,-85,,,,,First Mithradatic War,,,,,,,,,
-87,,,,,,,,,Sulla marches on Rome,Marius flees to Africa,,,,,,,,
-87,,,,,,,,,Marius 7th consulship+proscriptions,,,,,,,,,
-84,,,,,,,,,Cinna(Consul) stoned to death by own troops,,,,,,,,,
-82,,,,,,,,,Battle of the Colline Gate,Sulla's 2nd march on rome aided by Crassus and Pompey,,,,,,,,
-82,,,,-81,,,,,Sulla dictator of laws,,,,,,,,,
-81,,,,,,,,,Sulla retires,,,,,,,,,
-80,,,,,,,,,Sulla Second Consulship,,,,,,,,,
-78,,,,,,,,,Sulla dies,"""No friend ever served me, and no enemy ever wronged me, whom I have not repaid in full""",,,,,,,,
-73,,,,-71,,,,,Third Servile War,Spartacus and all that,,,,,,,,
-70,1,1,,-69,1,1,,,Consulship Pompey & Crassus,,,,,,,,,
-70,,,,,,,,,Cicero prosecutes Gaius Verres,"Gaius Verres had plundered sicily whilst governer there. Cicero launched his legal carreer by prosecuting him for his crimes. Verres quickly fled rome, but Cicero did publish the speeches he would have used against him as ""In Verrem"" (against Verres)",,,,,,,,
-67,,,,-62,,,,,Pompey conquers the east,,,,,,,,,
-63,,,,-63,,,,,Catiline Conspiracy,,,,,,,,,
-63,,,,,,,,,Consulship Cicero,,,,,,,,,
-60,,,,,,,,,Consulship Caesar,Caesar is elected consul after a particularly bribe heavy election. Even Cato is said to have resorted to bribary.,,,,,,,,
