Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
-4000,,,,-3100,,,,,Uruk Period,"In mesopotamia, city states start to arise, like Uruk. Cuneiform script along with cylinder seals start to become common, as well as copper replacing pottery.",,,,,,,,
-3500,,,,,,,,,Wheel invented,The oldest wheels we know of are found in this period in Mesopotamia.,,,,,,,,
-3500,,,,,,,,,Huaricanga inhabited,"The oldest city (known) of the Norte Chico civilization is securely inhabited. It lies in the Fortaleza Valley on north central peru's coast, just north of Lima. 22 kilometers inland.",,,,,,,,
-3200,,,,,,,,,Writing invented Mesopotamia.,,,,,,,,,
-3100,,,,-1800,,,,,Norte Chico civilization,"A largely theocratic civlization springs up in modern day peru, in a very arid region. They create large monumental architecture, provide irrigation for farmland. They are the first civilization in the America's, and one of the oldest in the world. They seem to have no wars, as they have no defensive structures and do not seem defensively built. They lack all ceramics, with no pots to boil crops. One of highest density civilizations in ancient world.",,,,,,,,
-2900,,,,,,,,,"Uruk 80,000 inhabitants","The city of Uruk in modern day Iraq (name derived from Uruk), has around 50-80,000 inhabitants. The largest city on Earth.",,,,,,,,
-2900,,,,-2350,,,,,Early Dynastic Period,"In Mesopotamia, city states continue to exist. They share a relatively homogeneous culture. Agriculture is based on intensive irrigation. Urban centers may have at times contained 3/4ths of the entire population.",,,,,,,,
-2700,,,,-1600,,,,,Minoan civilizations,"The earliest civilization in Europe. Minoans based around Crete. Their civilization was based around large palaces that rose up to 4 stories, with elaborate plumbing and decoration. Though they had weapons, depicted in rituals, their possible lack of fortifications still causes some debate about whether the minoans had warfare. They are likely the origin of the legends of Atlantis, being destroyed and declined by a volcanic eruption and military invasion.",,,,,,,,
-2686,,,,-2181,,,,,Old Kingdom of Egypt,,,,,,era,,,
-2600,,,,-1900,,,,,Indus Valley Civilization,"The height of the Indus Valley civilization, started around 3300 BC. Cities such as Harappan appear in Pakistan, Afghanistan, and western india. May have had around 5 million inhabitants. They had standardised streets, plumbing and public buildings. Lots of childrens toys and few walls. No evidence for kings, temples or palaces. Their sanitation systems were more advanced than contemporary ones, with a large focus on hygiene. They are even more advanced than those in some parts of India and Pakistan today.",,,,,,,,
-2560,,,,,,,,,Great Pyramid of Ghiza constructed,,,,,,,,,
-2334,,,,-2154,,,,,Akkadian Empire,"The Akkadian Empire controls mesopotamia. Meaning Iraq, Kuwait, northeast Syria and southeast Turkey and the Levant. ",,,,,,,,
-2334,,,,-2284,,,,,Sargon the Great,"First great conquerer in mesopotamia. There are many legends about his life. He is to have conquered Mesopotamia, parts of the Levant and some Hurrite and Elamite territory. ",,,,,,,,
-2112,,,,-2004,,,,,Ur III,The empire of the Third Dynasty of Ur is the preeminent power in mesopotemia. Ruling over the lands in Kuwait and south iraq.,,,,,,,,
-2100,,,,,,,,,Gilgamesh poems written,The first seperate Poems of the Epic of Gilgamesh are attributed to this timeframe.,,,,,,,,
-2070,,,,-1600,,,,,Legendary Xia Dynasty,"Least known of all dynasties, very little known.",,,,,,china,,
-2055,,,,-1655,,,,,Middle Kingdom of Egypt,"Egypt is reunified under the 11th dynasty, untill it falls apart again under the thirteenth dynasty.",,,,,era,,,
-1894,,,,,,,,,Babylonia founded,"Babylonia is founded by Sumuabum. It speaks akkadian. It's base of power is in the center of iraq, Babylon.",,,,,,,,
-1800,,,,,,,,,oldest single Gilgamesh,The earliest surviving references to a single combined Epic saga of Gilgamesh are compiled in this time.,,,,,,,,
-1792,,,,-1750,,,,,Hammurabi expands babylon,Hammurabi rules the babylonian state and greatly extends its borders to mesopamia. He creates his code of law.,,,,,,,,
-1675,,,,,,,,,Jie of Xia overthrown,"Traditionally viewed as an extremely cruel king, having created a lake of alcohol, only to make 3000 men drink it and drown.",,,,,,China,,
-1650,,,,,,,,,Hyksos invasion of Egypt,"The Hyksos invade egypt under the weak thirteenth dynasty and occupy parts of the north east. They introduce composite bow, horse and chariot and battle axes.",,,,,,,,
-1600,,,,-1046,,,,,Shang Dynasty,Most of historical period known from oracle bones.,,,,,,china,,
-1595,,,,,,,,,Sack of Babylon,Dated by middle chronology this is the date of the sack of Babylon by the Hittites under king Mursili I.,,,,,,,,
-1550,,,,-1077,,,,,"Egyptian new Kingdom
",,,,,,era,,,
-1365,,,,-934,,,,,Middle Assyrian Empire,"Ruling from a base of power in Assur in north Iraq, near east Turkey. Ashur-uballit I oversees the rise of Assyria from 1365 to 1330 bc, overthrowing the Mittani.",,,,,,,,
-1279,,,,-1213,,,,,Ramesses the great,"Ramesses 2, of the 19th dynasty of Egypt. He led military expeditions into the Levant and Nubia. Mostly he focused on building cities, temples and monuments. He built the great temple of Abu Simbel.",,,,,,,,
-1200,,,,,,,,,Standard Epic of Gilgamesh,The standard version of the Epic of Gilgamesh as known in modern times is written in this timeframe. It is edited by Sîn-lēqi-unninni.,,,,,,,,
-1200,,,,-1150,,,,,Late Bronze Age collapse,"Many of the cities and civilizations from greece, turkey to egypt are destroyed and abandoned.",,,,,,,,
-1200,,,,,,,,,Iron Age mesopotamia,First large scale iron production in the ancient near east.,,,,,,,,
-1046,,,,-771,,,,,Western Zhou,,,,,,,china,,
-771,,,,-476,,,,,Spring and Autumn period,Period of the Eastern Zhou where dukes and marquesses have more and more obtained de facto regional power.,,,,,,china,,
-770,,,,-255,,,,,Eastern Zhou period,DUring this period in ancient China the emporer is only a figurehead and power rests in several mostly independant states.,,,,,,china,,
-730,,,,,,,,,Iliad composed,"Dated around -760 to -710, the Iliad is composed in this time period.",,,,,,,,
-671,,,,,,,,,Egypt rebels against Assyria,,,,,,,,,
-668,,,,-627,,,,,Ashurbanipal,"Lifetime of Ashurbanipal, last strong king of the Neo-Assyrian empire. He accrued many books and scrolls in his library at Nineveh.",,,,,,,,
-612,,,,,,,,,Nineveh sacked Babylonians and medes,,,,,,,,,
-559,,,,-530,,,,,Cyrus the Great,,,,,,,,,
-552,,,,,,,,,Battle of Hyrba,"Cyrus the great defeats the meads, starting the unification persians.",,,,,,,,
-530,,,,-522,,,,,Cambyses II,"Bardia usurps and dies quickly at the end
",,,,,,,,
-522,,,,-486,,,,,Darius the Great,Rules over at least 44% of the world's population,,,,,,,,
-509,1,1,,-27,1,1,,,Roman Republic,,,,,,era,,,
-509,,,,,,,,,Republic of Rome founded,,,,,,,,,
-490,10,,,,,,,,Battle of Marathon,,,,,,,,,
-483,,,,,,,,,Buddha born,,,,,,,,,
-480,10,,,,,,,,Battle of Thermopylae,,,,,,,,,
-480,,,,,,,,,Battle of Salamis,Athenians decisively defeat the navy of the Persian Empire through a pincer movement.,,,,,,,,
-475,,,,-221,,,,,Warring States period,Emporer truely merely a figurehead amongst power struggles of competing states.,,,,,,china,,
-470,,,,-399,,,,,Socrates,,,,,,,,,
-431,,,,-404,,,,,Peloponnesian War,,,,,,,,,
-427,,,,-347,,,,,Plato,,,,,,,,,
-384,,,,-322,,,,,Aristotle,,,,,,,,,
-359,,,,-336,,,,,Philip II of Macedon,"The father of Alexander the Great. Establishes a well trained military and develops tactics for Macedonia, conquers greece.",,,,,,,,
-352,,,,,,,,,Conquest of Thessaly,"Philip invades Thessaly, got beaten and then came back the next year with many more troops. 20,000 infantry and 3,000 cavalry. He wins the battle of Crocus Field. Does not advance further into central greece because the Athenians hold Thermopolea",,,,,,,,
-347,,,,,,,,,Conquest of Thrace,,,,,,,,,
-343,,,,-341,,,,,First Samnite War,,,,,,,,,
-341,,,,,,,,,Crossbows in China,Crossbows have been invented for a while and are now seeing confirmed military use in China.,,,,,,,,
-338,,,,,,,,,Battle of Chaeronea,"Denial of Theban fighting leads to victory of Philip II, uniting almost all of Greece.",,,,,,,,
-336,,,,-323,,,,,Alexander the Great,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Alexander_the_Great_mosaic.jpg/1200px-Alexander_the_Great_mosaic.jpg
-334,,,,,,,,,Battle of Granicus River,"Alexander, near Troy, defeats the forces of the local satrap in Asia Minor.",,,,,,,,
-333,,,,,,,,,Battle of Issus,"Greek cavalry beats and routes Darius, captures his family.",,,,,,,,
-332,,,,,,,,,Siege of Tyre,"Alexander builds a land bridge to the island, or now peninsula of Tyre. ""Killed 10,000 men and enslaved 30,000""",,,,,,,,
-331,,,,,,,,,Battle of Gaugamela,Alexander the Great invades the Achaemenid Empire. He beats Darius 3 in his own territory while outnumered by superior tactics and Darius's cowardice. Around 47k greeks vs 90k persians.,,,,,,,,
-330,,,,,,,,,Bessus kills Darius,A satrap betrays the king of kings and tries to hand his head to Alexander the Great.,,,,,,,,
-326,,,,-304,,,,,Second Samnite War,,,,,,,,,
-312,,,,,,,,,Appian Way constructed,Construction started on the Appian way,,,,,,,,
-298,,,,-290,,,,,Third Samnite War,,,,,,,,,
-280,,,,-275,,,,,Pyrrhic War,Roman legionaries beat greek hoplites,,,,,,,,
-264,,,,-241,,,,,First Punic War,,,,,,,,,
-221,,,,-206,,,,,Qin Dynasty,First dynasty to gain control over the whole of China. Lasted a very short time but set up for the Han.,,,,,,china,,
-218,,,,-201,,,,,Second Punic War,,,,,,,,,
-218,,,,,,,,,Lex Claudia,"Introduced through a tribute of the plebs, this law prevents Senators and their sons from owning ships larger than 300 amphorae. This prevents senators from making a large amount of money through trade.",,,,,,,,
-216,8,2,,,,,,,Battle of Cannae,,,,,,,,,
-206,,,,,,,,,First Great Wall,,,,,,,China,,
-206,,,,220,,,,,Han dynasty,A golden age of economic prosperity for China,,,,,,China,,
-196,,,,,,,,,Rosetta Stone created,,,,,,,,,
-194,,,,,,,,,Empress Lü Zhi executes Concubine Qi,"The new power after her husband Emporer Gaozu of Han, founder of the Han, died. She quickly goes to work and executes the family of and the Concubine Qi. This causes her son to become sick, or so is rumored, and she holds de facto power over the Han dynasty china for 15 years.",,,,,,china,,
-149,,,,-146,,,,,Third Punic War,"After Carthage appears to be making a comeback, reversing some of the demilitarization forced upon them by Rome. Rome declares war and decisively beats Carthage.",,,,,,,Third Punic War,
-146,,,,,,,,,Destruction of Carthage,"At the end of the Third Punic War, carthage is destroyed. Cato the elder can now finally be happy.",,,,,,,,
-146,,,,,,,,,Corinth Sacked,"Mummius makes an example out of a greek city state and sacks Corinth. Its women and children are sold into slavery, its men are killed.",,,,,,,,
-139,,,,,,,,,Secret Ballot for electoral assemblies,,,,,,,,,
-137,,,,,,,,,,,,,,,,,,
-135,,,,-132,,,,,First Servile War,"Slaves rise up in Sicily. A jester king leads them, saves those who treated him well. Slaves take over the entire island, joined by the poor they ravage anyone rich.",,,,,,,,
-133,,,,,,,,,Tiberius Gracchus tribune,"Tiberius is made a tribune for the year. He is killed by the powerfull senate when he seeks to get a second tribunate, which was technically not illegal but went against tradition.",,,,,,,,
-123,,,,,,,,,Gaius Gracchus tribune,"Gaius Gracchus is elected to be tribune of the plebs, pushes through ambitious reforms.",,,,,,,,
-121,,,,,,,,,Gaius Gracchus killed,"Gaius Gracchus pushes through a land reform bill, and an accompanying committee to oversee this. The senate gets Livius Drusus to veto all of his proposals, but Livius drusus is violently removed. This marks the assault on the sacrosanct tribute of the plebs. The senate issues its first senatus consultum ultimum and has Gaius and 300 of his followers killed.",,,,,,,,
-117,,,,,,,,,Marius fails to win aedileship,"Marius as a novus homo, is not popular after he makes remarks that are too pridefull and disdainfull. His popularity plumits and he does not make it to the aedileship.",,,,,,,,
-117,,,,,,,,,Jugurtha assassinates Hiempsal,"Hiempsal is one of the heirs of Numidia, he has fled to rome after Jugurtha returns and tried to take over power. Jugurthu bribes romans to kill Hiempsal. His flagrant bribery earns him the scorn of the plebians, who view the senators as corrupt. This triggers rome to invade Numidia and restore order.",,,,,,,Jugurthine War,
